test,total_requests,concurrency,errors,rps,p50_ms,p95_ms,p99_ms,mean_ms
get_queue,100,1,0,37.84,24.2,37.7,72.9,26.4
get_queue,500,1,0,28.03,28.4,68.9,142.9,35.7
get_queue,1000,1,0,27.36,32.3,64.2,134.5,36.5
get_queue,5000,1,0,33.78,24.6,50.5,99.3,29.6
get_queue,10000,1,0,34.69,23.3,50.7,114.2,28.8
get_queue,100,10,0,61.5,154.9,236.4,246.8,162.1
get_queue,500,10,0,63.59,143.0,253.6,266.7,157.1
get_queue,1000,10,0,65.14,144.0,219.5,273.5,153.1
get_queue,5000,10,0,67.6,140.7,201.8,246.0,147.8
get_queue,10000,10,0,67.74,138.8,207.9,264.9,147.5
