test,total_requests,concurrency,errors,rps,p50_ms,p95_ms,p99_ms,mean_ms
get_workers,100,1,0,25.93,36.6,52.2,63.4,38.5
get_workers,500,1,0,27.0,35.1,51.9,72.4,37.0
get_workers,1000,1,0,28.6,33.3,49.1,71.2,34.9
get_workers,5000,1,0,10.17,33.7,370.5,605.2,98.3
get_workers,10000,1,0,26.89,32.2,54.7,213.5,37.2
get_workers,100,10,0,41.97,221.9,352.4,355.5,236.3
get_workers,500,10,0,45.88,207.9,271.6,303.3,217.1
get_workers,1000,10,0,45.62,210.7,272.9,294.1,218.7
get_workers,5000,10,0,44.42,213.6,294.0,338.4,225.1
get_workers,10000,10,0,36.18,254.0,410.6,543.2,276.3
