test,total_requests,concurrency,errors,rps,p50_ms,p95_ms,p99_ms,mean_ms
who_master,100,1,0,29.29,32.4,52.6,59.9,34.1
who_master,500,1,0,27.27,33.2,54.3,104.5,36.6
who_master,1000,1,0,28.88,31.8,52.8,83.9,34.6
who_master,5000,1,0,29.73,31.4,49.9,71.2,33.6
who_master,10000,1,0,30.57,30.6,46.8,69.9,32.7
who_master,100,10,0,51.69,194.2,208.0,211.5,193.0
who_master,500,10,0,45.92,208.4,277.4,346.6,217.3
who_master,1000,10,0,46.51,205.5,277.8,303.0,214.6
who_master,5000,10,0,47.35,200.6,270.5,311.8,211.1
who_master,10000,10,0,47.53,199.7,277.0,349.3,210.3
